"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"2947",31,83,83,0,0,3.98051630634217,0.230099570288521,0.115931361229245,NA,NA,NA,NA,NA,NA,NA,NA,374.8322,5855.697395,1629,50510.03743,2.42492099728254,0.171096481374532,1.3973486549011,0.348103853965634,6.96608489006254,0.491509873922346
"2948",31,84,31,1,0,1.41632356426569,1.16028116126836,0.75867102769616,NA,NA,NA,NA,NA,NA,NA,NA,1629,50510.03743,1403.97005,66576.99528,0.324567974177579,0.266102705443014,0.348103853965634,0.247857972557909,1.30949176590133,1.07360962690374
"2949",31,85,85,0,0,1.63605978254336,0.747520718232044,0.516821892206624,NA,NA,NA,NA,NA,NA,NA,NA,1217.71125,26104.69312,1629,50510.03743,0.654431409221616,0.303361093013046,0.574334021492596,0.348103853965634,1.87998897962854,0.871467205999378
"2950",31,86,86,0,0,1.00921992824826,0.845084653161449,0.912346426269516,NA,NA,NA,NA,NA,NA,NA,NA,1376.6429,46082.65214,1629,50510.03743,0.38040602363097,0.321562993068312,0.351560979008034,0.348103853965634,1.09279463383512,0.923755911935574
"2951",31,87,87,0,0,3.81289176154178,0.635435850214856,0.193504771968252,NA,NA,NA,NA,NA,NA,NA,NA,1035.125,9773.933275,1629,50510.03743,1.59167816155106,0.280685375210075,1.33850451064654,0.348103853965634,4.57242326799461,0.806326537360846
"2952",31,88,88,0,0,2.40206521921566,0.655138121546961,0.323784808369325,NA,NA,NA,NA,NA,NA,NA,NA,1067.22,16354.38279,1629,50510.03743,1.00925393644704,0.284826262443664,0.84323799813149,0.348103853965634,2.89928975203669,0.818222088606301
"2953",31,89,89,0,0,3.75318840983306,0.660822590546348,0.200390433367374,NA,NA,NA,NA,NA,NA,NA,NA,1076.48,10121.72829,1629,50510.03743,1.54456808322997,0.286007927706029,1.31754585784055,0.348103853965634,4.43708986738898,0.821616665393956
"2954",31,90,90,1,0,2.74088796610798,1.22477900552486,0.324766109562552,NA,NA,NA,NA,NA,NA,NA,NA,1995.165,16403.94835,1629,50510.03743,1.00647988998657,0.382558952933518,1.09170126207104,0.348103853965634,2.89132073236377,1.09897936657514
"2955",31,91,91,0,0,4.52688369798545,0.960492203806016,0.190626521537305,NA,NA,NA,NA,NA,NA,NA,NA,1564.6418,9628.552738,1629,50510.03743,1.61223316415624,0.341579783748713,1.58914933621312,0.348103853965634,4.63147174554236,0.981258264904
"2956",31,92,92,1,0,2.19582500629289,1.13100061387354,0.242369787529179,NA,NA,NA,NA,NA,NA,NA,NA,1842.4,12242.10704,1629,50510.03743,1.30846080410907,0.368694241495679,1.37044499703725,0.348103853965634,3.75882309030181,1.05915012803069
"2957",31,93,93,1,0,1.27661529240071,1.34438305709024,0.220616216043061,NA,NA,NA,NA,NA,NA,NA,NA,2190,11143.33333,1629,50510.03743,1.42102460079167,0.399321259500244,1.5783183995639,0.348103853965634,4.08218577474285,1.14713254378294
"2958",31,94,94,0,0,1.7157419922453,0.934806629834254,0.128235897844592,NA,NA,NA,NA,NA,NA,NA,NA,1522.8,6477.2,1629,50510.03743,2.23900222933575,0.33725253539299,2.19352579336984,0.348103853965634,6.43199494584392,0.968827352960833
"2959",31,95,95,1,0,1.32423253345167,1.46018416206262,0.374142580396817,NA,NA,NA,NA,NA,NA,NA,NA,2378.64,18897.95574,1629,50510.03743,0.884193452810623,0.414679866961452,1.03079787708743,0.348103853965634,2.54002776107705,1.19125330626874
"2960",31,96,96,0,0,4.8992391339906,0.518480662983425,0.133719544444218,NA,NA,NA,NA,NA,NA,NA,NA,844.605,6754.179195,1629,50510.03743,2.16502587494093,0.254482787299755,1.71986362699549,0.348103853965634,6.21948263507208,0.731054208106753
"2961",31,97,97,0,0,4.30779710603613,0.215221117249847,0.103293004647453,NA,NA,NA,NA,NA,NA,NA,NA,350.5952,5217.333531,1629,50510.03743,2.65102478417969,0.16555127261889,1.51223962534199,0.348103853965634,7.61561457587714,0.475580119935226
"2962",31,98,98,0,0,3.22173913350634,0.359005524861878,0.178787525697543,NA,NA,NA,NA,NA,NA,NA,NA,584.82,9030.564615,1629,50510.03743,1.70267741009809,0.21283606212546,1.13098213807259,0.348103853965634,4.89129146575374,0.611415414396624
"2963",31,99,99,0,0,4.15255714182073,0.641061172498465,0.210888135744547,NA,NA,NA,NA,NA,NA,NA,NA,1044.28865,10651.96763,1629,50510.03743,1.47788027932791,0.281874937744796,1.24243793111166,0.348103853965634,4.24551541872275,0.809743800689503
"2964",31,100,100,0,0,2.99948985761717,0.445084837323511,0.213313974176558,NA,NA,NA,NA,NA,NA,NA,NA,725.0432,10774.49682,1629,50510.03743,1.46328089044823,0.2363337882197,1.05296217709321,0.348103853965634,4.20357566794619,0.678917471114904
"2965",31,101,101,0,0,3.56714674052905,0.596933701657459,0.202450914913131,NA,NA,NA,NA,NA,NA,NA,NA,972.405,10225.80329,1629,50510.03743,1.5310081008895,0.272380333704835,1.25223647264587,0.348103853965634,4.39813602592473,0.782468595512088
"2966",31,102,102,0,0,2.51686956575045,0.452596685082873,0.259008122061493,NA,NA,NA,NA,NA,NA,NA,NA,737.28,13082.50994,1629,50510.03743,1.23371427851147,0.238262880601661,0.883539730125558,0.348103853965634,3.54409830416088,0.684459186209363
"2967",31,103,103,1,0,6.52420741032659,2.68139963167587,0.0968373714982614,NA,NA,NA,NA,NA,NA,NA,NA,4368,4891.259259,1629,50510.03743,2.78360095058936,0.541569305373315,3.20978814610119,0.348103853965634,7.99646691318781,1.55576934642838
"2968",31,104,104,1,0,2.98812893456471,2.26887661141805,0.421777553214535,NA,NA,NA,NA,NA,NA,NA,NA,3696,21304,1629,50510.03743,0.791427195370926,0.504347205860747,1.09354654074414,0.348103853965634,2.27353758470327,1.44884120102427
"2969",31,105,105,0,0,1.55324683048507,0.524807397176182,0.460480869811939,NA,NA,NA,NA,NA,NA,NA,NA,854.91125,23258.90597,1629,50510.03743,0.729261830759056,0.25597936419321,0.545262775485334,0.348103853965634,2.09495477413201,0.73535343339945
"2970",31,106,106,0,0,6.94127718055559,0.680911602209945,0.0997242678147032,NA,NA,NA,NA,NA,NA,NA,NA,1109.205,5037.0765,1629,50510.03743,2.72271100870826,0.2901386468813,2.43671513445617,0.348103853965634,7.82154801703821,0.833483006798147
"2971",31,107,107,0,0,6.62343976915781,0.330605049109883,0.0781776000754787,NA,NA,NA,NA,NA,NA,NA,NA,538.555625,3948.753506,1629,50510.03743,3.25396234378548,0.204429141396024,2.32562984698651,0.348103853965634,9.34767686917572,0.587264803497999
"2972",31,108,31,1,0,3.76103909205311,5.1672283529531,0.592646443080123,NA,NA,NA,NA,NA,NA,NA,NA,1629,50510.03743,315.25605,85227.94327,0.157095273367409,0.208961991847004,0.348103853965634,0.0933377923281933,1.68308323401343,2.23877152688864
