"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"101",2,38,2,1,1,3.47528608680116,1.04110655979306,3.44304277646084,NA,NA,NA,NA,NA,NA,NA,NA
"102",2,39,2,1,1,1.71633463478225,1.39561067988918,2.60361555560835,NA,NA,NA,NA,NA,NA,NA,NA
"103",2,40,2,1,1,1.95974730622174,1.44492705647235,3.04280538720763,NA,NA,NA,NA,NA,NA,NA,NA
"104",2,41,2,0,1,21.0787025580588,0.660770975056689,3.86296877725449,NA,NA,NA,NA,NA,NA,NA,NA
"105",2,42,2,0,1,1.01879139588826,0.916075650118203,1.25898281028903,NA,NA,NA,NA,NA,NA,NA,NA
"106",2,43,2,0,1,1.43046017145364,0.929209183673469,1.78033356199623,NA,NA,NA,NA,NA,NA,NA,NA
"107",2,44,2,0,1,2.44425296917796,0.47896120973044,2.18406311637081,NA,NA,NA,NA,NA,NA,NA,NA
"108",2,45,2,1,1,5.64375629935495,1.75914131688087,9.66468000599613,NA,NA,NA,NA,NA,NA,NA,NA
"109",2,46,2,1,1,1.35894029299451,1.11202454094217,1.86172216075454,NA,NA,NA,NA,NA,NA,NA,NA
"110",2,47,2,1,1,2.74405110695828,2.21144578770424,5.26864827164647,NA,NA,NA,NA,NA,NA,NA,NA
"111",2,48,2,0,1,2.62509742656075,0.710038986354776,2.16535648637021,NA,NA,NA,NA,NA,NA,NA,NA
"112",2,49,2,0,1,4.83229478352086,0.473051948051948,3.47922077922078,NA,NA,NA,NA,NA,NA,NA,NA
"113",2,50,2,1,1,4.49101184377926,1.86317135549872,5.98314181765787,NA,NA,NA,NA,NA,NA,NA,NA
"114",2,51,2,0,1,1.81107373111712,0.963305785123967,2.2950231871292,NA,NA,NA,NA,NA,NA,NA,NA
"115",2,52,2,1,1,22.1537212567441,1.41987597528559,6.76105499517938,NA,NA,NA,NA,NA,NA,NA,NA
"116",2,53,2,1,1,2.26087019302077,1.23620721106732,2.9738550679026,NA,NA,NA,NA,NA,NA,NA,NA
"117",2,54,2,1,1,3.45560942919047,1.97916242172324,6.30996799414823,NA,NA,NA,NA,NA,NA,NA,NA
"118",2,55,2,0,1,2.54827485506829,0.653035246871526,2.65878636226264,NA,NA,NA,NA,NA,NA,NA,NA
"119",2,56,2,1,1,3.62302503703816,1.61529933481153,5.58012497480347,NA,NA,NA,NA,NA,NA,NA,NA
"120",2,57,2,1,1,2.65233900054951,2.0962143692114,3.97738895399218,NA,NA,NA,NA,NA,NA,NA,NA
"121",2,58,2,1,1,2.61029446970839,2.35364435254588,5.37113189770293,NA,NA,NA,NA,NA,NA,NA,NA
"122",2,59,2,1,1,3.64117134692427,10.083044982699,14.92814451984,NA,NA,NA,NA,NA,NA,NA,NA
"123",2,60,2,1,1,2.03687747458872,2.99350756081525,4.55013149243918,NA,NA,NA,NA,NA,NA,NA,NA
"124",2,61,2,0,1,1.81593034375455,0.959759434354546,1.74372450101918,NA,NA,NA,NA,NA,NA,NA,NA
"125",2,62,2,0,1,1.35322858222965,0.442121718665383,1.16174536718888,NA,NA,NA,NA,NA,NA,NA,NA
"126",2,63,2,1,1,1.59878662239642,1.73542875959363,2.40601856291602,NA,NA,NA,NA,NA,NA,NA,NA
"127",2,64,2,1,1,1.48570263727155,1.01180555555556,1.38970883534137,NA,NA,NA,NA,NA,NA,NA,NA
"128",2,65,2,1,1,1.95436005009663,2.19931167733366,3.7421124062095,NA,NA,NA,NA,NA,NA,NA,NA
"129",2,66,2,1,1,3.04935433334941,1.57598702001082,4.94257277252361,NA,NA,NA,NA,NA,NA,NA,NA
"130",3,4,4,0,0,1.40595115318648,0.623200714694111,0.907973041040874,NA,NA,NA,NA,NA,NA,NA,NA
"131",3,5,5,0,0,1.25823589736531,0.434819897084048,0.678743253984856,NA,NA,NA,NA,NA,NA,NA,NA
"132",3,6,6,1,1,2.90706753653423,1.71616649514008,3.11547005466538,NA,NA,NA,NA,NA,NA,NA,NA
"133",3,7,7,0,1,1.61914371212041,0.718039979988565,1.11202012020806,NA,NA,NA,NA,NA,NA,NA,NA
"134",3,8,8,1,1,1.25571426193312,2.17809891366495,2.17601764632055,NA,NA,NA,NA,NA,NA,NA,NA
"135",3,9,3,1,1,2.97633872951953,1.89183342347215,5.00420453950697,NA,NA,NA,NA,NA,NA,NA,NA
"136",3,10,10,0,0,1.03633067222325,0.421589479702687,0.549844510451966,NA,NA,NA,NA,NA,NA,NA,NA
"137",3,11,3,1,1,1.35789253668782,1.03434879494294,1.58667560624103,NA,NA,NA,NA,NA,NA,NA,NA
"138",3,12,3,1,1,1.46333414801564,1.18255578093306,1.73159953636627,NA,NA,NA,NA,NA,NA,NA,NA
"139",3,13,3,1,1,1.08274092499951,1.48471986417657,1.4323179866174,NA,NA,NA,NA,NA,NA,NA,NA
