"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"11","Cercocarpus betuloides","Pan et al. 2017",177.311357675141,0.394145300030012,46.881642428355,NA,-363.392966571664,0.444587025079182,1.0000000045078,732.785933143327,733.155163912558,19.0751091458876,0.0628900987227466,3.99080760611294,NA,69,177.311357675141,0.566145407029383,1.75860826072813,4.08336192848563
"12","Comarostaphylis diversifolia","Pan et al. 2017",158.417767720511,0.332176882811094,90.6529593996721,NA,-302.224832799536,0.121684307007495,0.999999994163642,610.449665599072,610.960303896944,30.6609739702301,0.167357584600252,8.97598852262946,NA,51,158.417767720511,0.671761229817757,2.08668097157782,4.84512317297339
"13","Cordia africana","Gindaba et al. 2004",133.592723330162,0.681317037798423,14.6415309886119,NA,-45.1308067742707,0.672423298394496,1.00000000179884,96.2616135485413,99.6901849771128,17.4406494743056,0.155674184706504,3.12155748864825,NA,11,133.592723330162,0.327517937956264,1.01736363851952,2.36224521499531
"14","Corylus avellana","Li et al. 2015",373.650108,1.23739393136669,38.1655966748928,NA,-172.069682965672,0.590589158013798,1.03690315919132,350.139365931345,350.939365931345,113.899568649915,0.253809991611056,4.90985372643486,NA,34,373.650108,0.180333478011929,0.56016694683024,1.30066737167241
"15","Croton macrostachyus","Gindaba et al. 2004",148.897526732176,0.779923698780623,15.0164802297074,NA,-45.4089548466049,0.693236195711038,0.99999999928931,96.8179096932099,100.246481121781,23.6648423288707,0.184401158283437,3.20149623622494,NA,11,148.897526732176,0.286109463865613,0.888737169602169,2.06358380306995
"16","Enterolobium cyclocarpum","Brodribb et al. 2003",535.050748729725,0.641704731474206,73.566081042948,NA,-177.230800991065,0.594432568294034,0.99999999786987,360.461601982131,361.35049087102,67.2443616922208,0.095723765115725,9.3428355170667,NA,31,535.050748729725,0.347735555574876,1.0801652949754,2.50806614552567
"17","Eucalyptus camaldulensis","Gindaba et al. 2004",194.254861092384,1.01406369680755,24.033987804213,NA,-27.5904451431972,0.611915010834468,0.999999999685872,61.1808902863944,73.1808902863944,63.8737009975665,0.341045022406388,6.93796647715475,NA,6,194.254861092384,0.220048850991023,0.683534163329283,1.58711717764959
"18","Eucalyptus globulus","Gindaba et al. 2004",205.405638912861,1.03803307674996,16.8272300875116,NA,-25.4516216533069,0.834713856352622,0.999999996708864,56.9032433066138,68.9032433066137,40.1022001690842,0.230521708469267,4.85756917464815,NA,6,205.405638912861,0.214967669443505,0.667750571812377,1.55046881306826
"19","Ficus auriculata","Hao et al. 2010",634.701183988135,1.34858833415305,60.5255702124683,NA,-254.012205216531,0.630412826806441,0.999999999460837,514.024410433062,514.59583900449,96.5961243931238,0.186147050548566,6.31016425280842,NA,46,634.701183988135,0.165464542190593,0.513979813562052,1.1934241693147
"20","Ficus benjamina","Hao et al. 2010",681.8,1.15350725477067,65.1323639276671,NA,-391.675207472073,0.570140186857128,1.02247917168089,789.350414944146,789.714051307783,146.244672903673,0.163658442311309,5.62058306194777,NA,70,681.8,0.193447895876973,0.600904049535215,1.3952559949474
"21","Ficus concinna","Hao et al. 2010",423,0.77539598044103,51.0616560175522,NA,-278.302564082837,0.40369665698118,1.00169819378658,562.605128165674,563.105128165674,108.014464064527,0.153892120889531,5.00797866045262,NA,52,423,0.287780123888816,0.893926713633075,2.07563355115497
"22","Ficus curtipes","Hao et al. 2010",700.749647432827,1.63553310198901,57.9238895738217,NA,-273.903421350374,0.659742296441367,1.00000000306472,553.806842700748,554.328581831183,113.210718509579,0.184974082356161,5.79234217459305,NA,50,700.749647432827,0.136434750872874,0.423805045411183,0.984044841695239
"23","Ficus esquiroliana","Hao et al. 2010",846.4,1.33089963622177,57.4950641964642,NA,-328.238257626436,0.779711849626782,1.0525812208163,662.476515252873,662.905086681444,120.912208909046,0.128365874390719,6.24138671724248,NA,60,846.4,0.167663695474199,0.520811007603614,1.20928571068143
"24","Ficus hispida","Hao et al. 2010",670.2,1.23567464456227,69.7827415814133,NA,-436.153044769695,0.554609420952048,1.01274899653459,878.30608953939,878.634856662677,123.244147126903,0.167452966684433,5.65871242224279,NA,77,670.2,0.180584389504292,0.560946349114002,1.3024770877323
"25","Ficus racemosa","Hao et al. 2010",898.025697305673,1.01523166682613,88.0788044996729,NA,-401.007590417937,0.603173953863762,1.00000000247173,808.015180835875,808.390180835875,122.666782795688,0.117448081960243,7.55260149971806,NA,68,898.025697305673,0.219795696495375,0.682747793640931,1.58529128377724
"26","Ficus religosa","Hao et al. 2010",778.6,1.1145908128829,63.1969782901892,NA,-333.911701320244,0.671098030530903,1.02149026428013,673.823402640489,674.25197406906,130.681174841223,0.128407080962552,5.92557333433165,NA,60,778.6,0.200202216575828,0.621884885958386,1.4439719884926
"27","Ficus semicordata","Hao et al. 2010",1121.4,1.0249390876904,90.6052951919564,NA,-278.49620538619,0.646491588236266,1.02655001306657,562.992410772379,563.550550307263,236.085454338411,0.150745348426477,9.88945319151903,NA,47,1121.4,0.217713963682507,0.676281340895958,1.57027664547442
"28","Ficus tinctoria","Hao et al. 2010",861.2,1.10527413115154,76.3140896388928,NA,-281.93600959715,0.591692018902998,1.00629329094001,569.8720191943,570.405352527634,167.628792485817,0.14726324322225,7.72169194362873,NA,49,861.2,0.201889780123349,0.627126937131681,1.45614365438671
"29","Fraxinus excelsior","Li et al. 2015",361.462747370679,0.795886391489005,49.4452535775988,NA,-207.472379400972,0.620762491336816,1.00000000225785,420.944758801944,421.630473087659,66.3590838592177,0.16419305775784,5.59852842150034,NA,39,361.462747370679,0.280371110375107,0.870912215577844,2.0221955415308
"30","Hedera canariensis","Guyot et al. 2012",167.27525028537,0.655008650089452,52.225614834217,NA,-209.605952998626,0.307062781563898,1.00000000060231,425.211905997253,425.897620282967,23.1330599489687,0.176064970770218,5.91333983246958,NA,39,167.27525028537,0.34067267857262,1.05822599513042,2.45712466883347
"31","Hedera canariensis","Pan et al. 2017",307.132281149419,1.2944734659835,60.1664699765636,NA,-165.481612856065,0.592868230132073,1.00000000721637,336.96322571213,337.886302635207,43.2856771096419,0.217699062763708,7.76733492958536,NA,30,307.132281149419,0.172381711311999,0.535466503388941,1.24331471808988
"32","Helianthus annuus","Guyot et al. 2012",425.75314545656,2.52801926925742,100,NA,-200.124871351665,0.310658848195981,0.999999998107549,406.24974270333,407.106885560473,107.300708894532,0.767833443670025,9.61716337366455,NA,32,425.75314545656,0.0882681370461848,0.274185877057634,0.636639891161454
"33","Helianthus annuus","Pan et al. 2017",536.006166991093,3.18361424247396,100,NA,-178.912922191918,0.419403596747276,1.00000000013284,363.825844383837,364.785844383837,143.61480252453,0.865543597769269,10.9578794449613,NA,29,536.006166991093,0.0700912655613724,0.21772335709282,0.505537979747012
"34","Heteromeles arbutifolia","Pan et al. 2017",497.21031126503,0.480095747553022,100,NA,-572.304281118187,0.459723065455701,0.99999999428819,1150.60856223637,1150.8812895091,40.4791852196247,0.0580193556064072,5.84689506357371,NA,92,497.21031126503,0.464789685081653,1.44376863176318,3.352326948608
"35","Hymenaea courbaril","Brodribb et al. 2003",692.538457475225,0.599125824709491,89.7625204762644,NA,-224.812030168388,0.573275406162429,1.00000000248728,455.624060336775,456.329942689716,101.06845166642,0.0779058447932398,10.2963672814805,NA,38,692.538457475225,0.372448561072141,1.1569309016116,2.68631036429534
"36","Lantana camara","Pan et al. 2017",468.126326184676,1.39521994239361,100,NA,-274.683489101178,0.250270016772562,1.0000000199531,555.366978202357,555.952344056015,119.981633883927,0.337152884219618,9.46635150144959,NA,45,468.126326184676,0.159934318980124,0.49680137123814,1.1535370614564
"37","Magnolia grandiflora","Pan et al. 2017",148.480771805398,2.0923788689897,20.8008591402158,NA,-160.341581008442,0.676862159928197,1.00000000527229,326.683162016884,327.433162016884,19.8913949095869,0.367724561103417,2.45139762267991,NA,36,148.480771805398,0.106645863529464,0.331272309634168,0.769190482797799
"38","Malosma Laurina","Pan et al. 2017",387.11523492032,1.38516955712143,75.3433634763946,NA,-212.416791800187,0.587856107489232,1.00000000526681,430.833583600374,431.560856327647,48.7481401379463,0.276020749970485,8.75838616877037,NA,37,387.11523492032,0.161094755632612,0.500406016719282,1.16190678907118
"39","Millettia ferruginea","Gindaba et al. 2004",58.2263493770292,0.340621713861062,10.1794238874641,NA,-41.1323764506401,0.310538425066083,1.00000000273942,88.2647529012801,91.6933243298515,10.0934209481649,0.168562443743859,2.17024140880693,NA,11,58.2263493770292,0.655106654196534,2.03494713447034,4.72500092313722
"40","Platanus racemosa","Pan et al. 2017",166.087390738241,1.12113982621356,43.3744535457462,NA,-243.874030887134,0.392226914780266,0.999999999385696,493.748061774267,494.306201309151,25.2149970334244,0.250270329077078,4.47371412345053,NA,47,166.087390738241,0.199032757642582,0.618252214713414,1.43553718706941
"41","Quercus agrifolia","Pan et al. 2017",110.200204253572,0.396347489463146,50.6506878067511,NA,-288.570132963636,0.159360133047624,1.00000001022206,583.140265927273,583.620265927273,24.1454495566973,0.203539859474773,4.87385052098382,NA,54,110.200204253572,0.562999784902027,1.7488370659262,4.06067391675443
"42","Quercus oleoides","Brodribb et al. 2003",855.801787555087,0.512317472281202,100,NA,-327.902822738786,0.454281739425396,0.999999989589624,661.805645477571,662.285645477571,132.1339451944,0.070600293735236,8.99454968649901,NA,54,855.801787555087,0.435557175750059,1.35296416394616,3.14148550364237
"43","Raphiolepis indica","Guyot et al. 2012",188.413392009375,0.41091358971014,35.7393570896946,NA,-204.802833057868,0.561909185513015,0.999999992277279,415.605666115737,416.254314764386,16.1361944489182,0.0657047574931788,3.94673403961981,NA,41,188.413392009375,0.54304252013572,1.68684413929677,3.91673079872925
"44","Rhaphiolepis indica","Pan et al. 2017",235.356946398292,0.427027939924459,55.3319635733549,NA,-255.317595811173,0.582014202516869,1.00000000143907,516.635191622346,517.193331157229,18.2237539000319,0.0654250240965095,5.70698477266709,NA,47,235.356946398292,0.522550237236663,1.62318929455193,3.76892882634051
"45","Rhedera trinervis","Brodribb et al. 2003",1081.8,1.25865116173373,100,NA,-192.287003569262,0.602152286528913,1.06746367996799,390.574007138525,391.462896027413,277.780380277003,0.228728464264659,13.1072860762656,NA,31,1081.8,0.177287844399111,0.550706344723163,1.27870053384544
"46","Salvia canariensis","Pan et al. 2017",896.966197957691,1.64297879696737,83.2154828814427,NA,-122.647810898277,0.551111166137741,0.999999999919207,251.295621796554,252.707386502436,285.190130320311,0.358967389789874,12.8403311782326,NA,21,896.966197957691,0.135816452242775,0.421884434442712,0.979585321128199
"47","Simarouba glauca","Brodribb et al. 2003",1359.8,1.10849886282797,100,NA,-396.259749508706,0.632135733676355,1.04086397972901,798.519499017412,798.940551648991,171.583556002964,0.104437149315097,6.24629249971859,NA,61,1359.8,0.201302462994803,0.625302563497094,1.45190758998899
"48","Sweitenia macrophylla","Brodribb et al. 2003",685.079755069286,0.822285370378033,60.192373842084,NA,-303.406630966739,0.692588578463038,0.999999999060106,612.813261933479,613.283850168773,85.4721000945365,0.0839118354324771,5.73902685403181,NA,55,685.079755069286,0.271369963947702,0.842952100973512,1.95727416589473
"49","Vaccinium myrtillus","Ganthaler & Mayr 2015",127.103566665795,0.574709076477543,24.7139345285556,NA,-41.6367518958003,0.631488011467017,1.0000000013876,89.2735037916007,94.0735037916007,22.4518418254249,0.185014032492068,5.82508192592707,NA,9,127.103566665795,0.388272189264666,1.20608358024955,2.80043934976376
"50","Vaccinium vitis-idaea","Ganthaler & Mayr 2015",165.989774062197,0.460258797920994,51.7459021137009,NA,-48.2875538837429,0.292941562517193,0.999999999101558,102.575107767486,107.375107767486,46.5078782906878,0.328166919275065,12.1965249589312,NA,9,165.989774062197,0.484821913936588,1.50599441812067,3.49681075017792
"51","Vitis vinifera (M)","Tombesi et al. 2014",688,1.75757232408753,65.2670506707705,NA,-195.90990542031,0.709779690223565,1.00019085875868,397.81981084062,398.594004389007,112.304601303693,0.230447874070066,7.80083281505015,NA,35,688,0.12696123411596,0.39437761454272,0.9157164632014
"52","Vitis vinifera (S)","Tombesi et al. 2014",291.605910383388,1.19259289764278,40.5340679675454,NA,-158.753521899042,0.703170176327305,0.999999998093393,323.507043798084,324.395932686973,30.7633961335142,0.150916785109107,5.14779534952635,NA,31,291.605910383388,0.187107898894303,0.581210220126234,1.34952833914677
