"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"11","Cercocarpus betuloides","Pan et al. 2017",149.366549864191,-28.982857326531,46.6733300295531,NA,-363.085689416707,0.449511893074956,1.00000000286198,732.171378833413,732.540609602644,11.7889540910407,3.86100491413423,3.97307497688857,NA,69,149.366549864191,1.03072342510178,2.57680856275444,4.12289370040711
"12","Comarostaphylis diversifolia","Pan et al. 2017",144.609178681288,-27.5974416646358,90.6599043081009,NA,-302.228739688508,0.121549728780846,0.999999986916065,610.457479377016,610.968117674889,20.6749373989326,10.3879230038701,8.97660791961297,NA,51,144.609178681288,1.047989740778,2.619974351945,4.191958963112
"13","Cordia africana","Gindaba et al. 2004",117.026421536949,-46.3117393614529,14.8234411844151,NA,-45.2666316109163,0.664232936593323,0.999999999172587,96.5332632218325,99.961834650404,10.760287543385,9.9275692086431,3.16035444341358,NA,11,117.026421536949,0.505385559473739,1.26346389868435,2.02154223789496
"14","Corylus avellana","Li et al. 2015",126.691500053479,-37.6716318884982,48.0428747289842,NA,-179.895100365236,0.35125623343069,0.999999999102264,365.790200730472,366.590200730472,17.1362408082679,8.77991754827209,5.82601522995072,NA,34,126.691500053479,0.672609566946632,1.68152391736658,2.69043826778653
"15","Croton macrostachyus","Gindaba et al. 2004",117.990445896235,-45.8868324136618,15.5407888942961,NA,-45.7864730790397,0.671440560749037,0.999999997455477,97.5729461580794,101.001517586651,11.1231770057368,9.67809761621857,3.31329281880888,NA,11,117.990445896235,0.514267120609118,1.28566780152279,2.05706848243647
"16","Enterolobium cyclocarpum","Brodribb et al. 2003",454.970824802537,-156.185106545424,66.7844463243115,NA,-174.232671366022,0.665759954236812,0.999999996602032,354.465342732045,355.354231620934,34.5280262936253,19.875664136837,8.48152012069422,NA,31,454.970824802537,0.582604621997317,1.45651155499329,2.33041848798927
"17","Eucalyptus camaldulensis","Gindaba et al. 2004",160.080843884316,-82.5853420309733,19.1796371865656,NA,-26.2367261334595,0.752852656795799,0.999999999875723,58.473452266919,70.473452266919,24.2926189451156,19.3172644844145,5.53666823598803,NA,6,160.080843884316,0.387673744389842,0.969184360974606,1.55069497755937
"18","Eucalyptus globulus","Gindaba et al. 2004",142.199547473078,-59.5539590948832,19.5515956203843,NA,-26.3519725870736,0.776860942410623,1.00000000035405,58.7039451741473,70.7039451741473,19.4195471027108,13.0301961348499,5.64404307087634,NA,6,142.199547473078,0.47754859503638,1.19387148759095,1.91019438014552
"19","Ficus auriculata","Hao et al. 2010",323.528623684776,-138.83921983866,73.3978819714849,NA,-262.882346247365,0.456491720404904,1.00000000624948,531.764692494729,532.336121066158,28.4714842104231,22.3359113300066,7.65214994347235,NA,46,323.528623684776,0.466047884827843,1.16511971206961,1.86419153931137
"20","Ficus benjamina","Hao et al. 2010",253.102899045669,-78.5962982425094,74.8468807255388,NA,-401.406807667499,0.432350097723877,1.00000000732519,808.813615334999,809.177251698635,22.5400226818351,10.7636211979508,6.32565086153987,NA,70,253.102899045669,0.644058065596725,1.61014516399181,2.5762322623869
