"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"34","Heteromeles arbutifolia","Pan et al. 2017",626.883140042458,-1.25,1.03354672019639,100,-573.37109236567,0.450729353853955,0.999999999179607,1154.74218473134,1155.20195484628,279.707404415196,0.341417437477493,1.15010887707645,5.83027845596376,92,436.113695445513,0.749588682255494,1.81921491332983,3.31164045558576
"35","Hymenaea courbaril","Brodribb et al. 2003",362.467889394513,-0.185219940826651,2.49781227906304,41.2295386274838,-195.247552506141,0.909972634455481,1.00000000211348,398.495105012283,399.707226224404,13.9777655274721,0.0247022825198276,0.0291403873027199,4.72930652516443,38,362.46738528691,2.24104420751233,2.49781279425781,2.75458196059488
"36","Lantana camara","Pan et al. 2017",232.00743799947,-0.139146034187425,1.00984706538226,100,-273.040398107688,0.297470814400905,0.999999993751055,554.080796215376,555.080796215376,50.0060365996531,0.117406852094244,0.0897602546184935,9.91445119894872,45,231.844012374529,0.817439257149535,1.01004309385059,1.20286697810039
"37","Magnolia grandiflora","Pan et al. 2017",118.368172620831,-0.0185869572909434,0.51520775351814,17.6634442703594,-154.455686999163,0.766989184716848,0.999999998883794,316.911373998326,318.201696578971,8.54224652422088,0.00914473247381414,0.0123701374822687,2.08165081597901,36,118.368172620723,0.489440759435414,0.515207753518174,0.540974747600972
"38","Malosma Laurina","Pan et al. 2017",609.69,-0.498783880907689,0.142727392170531,75.7873826479411,-212.634203390841,0.582984029379814,1.00222806390605,433.268406781683,434.518406781683,457.898548450175,0.201709248728768,0.707883271459963,8.83982725497076,37,348.165619341258,0.229046618260319,0.600216852827667,1.16445329656979
"39","Millettia ferruginea","Gindaba et al. 2004",68.0725219720171,-1.25,1.60525346429588,10.7525886330103,-41.7349355993138,0.230710643053019,0.999999998088292,91.4698711986275,98.1365378652942,57.3526300669133,0.908299311694235,2.47533803626406,2.41668404762905,11,53.3119711856889,0.958546912904458,2.15608659558266,3.7096256336836
"40","Platanus racemosa","Pan et al. 2017",281.085,-0.65212415979982,0.0785146254816122,44.1117670806652,-244.666260281779,0.371388457556338,1.00998524062307,497.332520563558,498.284901515939,148.372404264249,0.20852195945486,0.62371480196065,4.58833673882882,47,148.99283209333,0.278173511036162,0.743667104944818,1.46893017920649
"41","Quercus agrifolia","Pan et al. 2017",405.42,-1.25,-0.941242105251873,51.6459263317073,-289.620892867033,0.125999994728626,1.00341733525117,587.241785734066,588.058112264678,542.587110221806,0.719783557502908,2.16681073217631,5.0897763527842,54,129.803054724696,0.391448433350644,1.1307556673755,2.41146683693484
"42","Quercus oleoides","Brodribb et al. 2003",413.167355442543,-0.290577284971142,2.70522274730323,87.7262445695326,-318.230620612419,0.616923378166863,0.99999999731882,644.461241224838,645.277567755451,28.6458828443537,0.0741417467721895,0.0664650484756258,8.44131609401254,54,413.129954509016,2.30252859670659,2.70527535485611,3.10808127976492
"43","Raphiolepis indica","Guyot et al. 2012",159.382113972049,-0.718154366500906,2.18235858331591,32.7007089328811,-201.159746862824,0.633237424233693,0.999999998789487,410.319493725647,411.430604836758,22.1365240499138,0.219169655429943,0.306889912991566,3.61117299036359,41,152.098097708123,1.34095053504903,2.2480459360993,3.219685053593
"44","Rhaphiolepis indica","Pan et al. 2017",196.233605177811,-0.474878356340016,2.30527274280284,49.8569141858251,-250.420498743241,0.660640388721596,0.999999996969307,508.840997486483,509.793378438864,15.0079595762545,0.184586777007422,0.167910614753824,5.14230481933583,47,194.716060872348,1.66510522477551,2.31261769588975,2.96819782185904
"45","Rhedera trinervis","Brodribb et al. 2003",508.382114661619,-0.0805638260975049,1.12853173729633,60.3927786325661,-171.114050582016,0.893099328783958,0.999999999012556,350.228101164032,351.766562702493,36.3420185978779,0.0249673380683566,0.0190128907161948,7.66978835725176,31,508.381695263023,1.0168468917793,1.12853187022137,1.24021699820372
"46","Salvia canariensis","Pan et al. 2017",285.62714288289,-0.121631357370245,1.18810856823868,72.0130762735614,-119.611511411846,0.663834401451255,1.00000000395306,247.223022823692,249.723022823692,34.6708146604363,0.0638489171518322,0.063202948153887,11.1117240395438,21,285.610792119998,1.0195265144063,1.1881224938444,1.35673413678682
"47","Simarouba glauca","Brodribb et al. 2003",685.655375184633,-0.250187874250112,1.30614176130444,100,-385.687706391658,0.697730855340058,0.999999996948629,779.375412783316,780.089698497601,117.19748086222,0.0711345170496061,0.115880124937266,6.57520259608544,61,681.970111479068,0.96597789867675,1.30883120910739,1.65466009040996
"48","Sweitenia macrophylla","Brodribb et al. 2003",258.223164555653,-0.0595481350654816,1.93809187509352,33.3142869695106,-270.87086837976,0.905833137065122,1.00000000139821,549.741736759521,550.541736759521,7.3632847315458,0.0164221696817432,0.0149854128167333,3.17636475107536,55,258.223164555651,1.85554063123704,1.93809187509352,2.02064311895
"49","Vaccinium myrtillus","Ganthaler & Mayr 2015",112.169101152522,-0.579754755668226,1.58698355626621,23.0339256812415,-41.0031602647907,0.679886665242165,0.999999999792878,90.0063205295815,100.006320529581,32.2730201979659,0.41490655596758,0.481697222382658,5.42910332270054,9,105.348562127047,0.945859601339709,1.65757562025511,2.43581090926295
"50","Vaccinium vitis-idaea","Ganthaler & Mayr 2015",349.13793105,-1.25,-0.0871145811689373,53.1328803539787,-48.5256103859312,0.254530096144906,1.00150252793562,105.051220771862,115.051220771862,589.549592849362,0.99613850113053,3.66432042028748,12.8536107034606,9,168.48842546127,0.492727396631358,1.3448964280118,2.70856057623573
"51","Vitis vinifera (M)","Tombesi et al. 2014",295.074200912131,-0.136025496568363,0.922682884460639,56.0820387029426,-190.601394265933,0.785717159078641,1.00000000084877,389.202788531866,390.5361218652,41.8675070545197,0.060887046012741,0.052791035048789,6.70301672457017,35,294.740351916329,0.734879704873037,0.922990684970948,1.11144672024601
"52","Vitis vinifera (S)","Tombesi et al. 2014",196.591371688702,-0.21664942360106,1.00818893350792,31.8662794648106,-151.295094293158,0.816544870351258,1.00000000379826,310.590188586317,312.128650124778,21.4732923622687,0.0557105424384055,0.0807305824622266,4.04699289517267,31,194.735982155159,0.717931635222484,1.0122784416579,1.31109378223546
