"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"15","Croton macrostachyus","Gindaba et al. 2004",109.706582120516,2.66952580330853,1.22558294919198,13.9789367335953,-44.6213922132947,0.734162590802147,0.999999997696172,97.2427844265893,103.909451093256,"15.159650184403","0.923702306216637","0.179434585940325","2.98029315061015",11,109.706582120516,0.729141843831544,1.22558294919198,2.06002930439024
"16","Enterolobium cyclocarpum","Brodribb et al. 2003",343.79743250453,6.54050726798588,1.79838272139589,61.8945388729079,-171.875484970645,0.712913692632027,0.99999999755634,351.75096994129,353.289431479752,"23.0327420664222","1.82260934882917","0.0614334499797911","7.86050952848148",31,343.79743250453,1.45489334877918,1.79838272139589,2.22296735037597
"17","Eucalyptus camaldulensis","Gindaba et al. 2004",105.70687886506,9.535789693305,1.30729439938177,11.2200243848096,-23.0198316775216,0.915420955246079,1.00000000020153,54.0396633550432,94.0396633550432,"8.28695372383392","2.81712855814157","0.0464790497057983","3.23890647724134",6,105.70687886506,1.13041138406301,1.30729439938177,1.51185548088897
"18","Eucalyptus globulus","Gindaba et al. 2004",155.101196956714,2.16369396934359,0.944411155791494,16.5142899867704,-25.3389876279215,0.840804421354039,0.999999999172391,58.677975255843,98.677975255843,"49.4915549372645","1.03096873074868","0.37121381725767","4.76723176265911",6,155.101196956714,0.49762878711046,0.944411155791494,1.79232482984439
"19","Ficus auriculata","Hao et al. 2010",591.190993572885,1.80070543796025,0.574833807527969,58.5762471378122,-252.506319310051,0.653835763528127,0.999999996680753,513.012638620102,513.988248376199,"299.256778492722","0.58536778200211","0.327627580507386","6.10693529026931",46,591.190993572885,0.266192345594334,0.574833807527969,1.24133511630222
"20","Ficus benjamina","Hao et al. 2010",347.004397050002,3.65060175116281,1.23519215335959,63.8560454519116,-390.289886205422,0.586821983836051,0.99999999868167,788.579772410844,789.195157026229,"104.228090900197","1.07236542405713","0.228203133190215","5.39673543338416",70,347.004397050002,0.844916459791065,1.23519215335959,1.80574024572606
"21","Ficus concinna","Hao et al. 2010",146.69110440058,23.3823690430063,2.02957809974219,41.4961676259501,-267.516059783351,0.606183938067626,1.00000000058822,543.032119566703,543.88318339649,"8.44791684917735","7.6247897779908","0.0437452598270738","4.06898173516904",52,146.69110440058,1.91274602489807,2.02957809974219,2.1535463722491
"22","Ficus curtipes","Hao et al. 2010",267.47856893312,6.9742413247715,1.10116530428342,52.3240293027052,-268.819712437482,0.722351777523584,0.99999999793736,545.639424874964,546.528313763853,"23.5438865344033","2.12691903612567","0.046730378623565","5.23236066908508",50,267.47856893312,0.902664337579591,1.10116530428342,1.34331775043754
"23","Ficus esquiroliana","Hao et al. 2010",638.593801614331,3.15343588946406,0.839139604461588,49.0799296520112,-318.743322777557,0.839476775108753,1.00000000081507,645.486645555113,646.213918282386,"160.114581296223","0.542212926602525","0.142831858129646","4.48032215831016",60,638.593801614331,0.540645151363202,0.839139604461588,1.30243519987272
"24","Ficus hispida","Hao et al. 2010",315.810320947827,4.23059295235912,1.19728935460403,67.6764390244661,-433.793100246577,0.581090736074946,1.00000000417291,875.586200493153,876.141756048709,"61.083112964051","1.49337063400304","0.136192699179756","5.45344752735617",77,315.810320947827,0.862756227426298,1.19728935460403,1.66153746919271
