species,data type,psi,gs
Ceanothus spinosus,1,2.25,13.23647275
Ceanothus spinosus,1,2.34,44.63647275
Encelia californica,1,0.256,232.6728161
Encelia californica,1,0.364,162.6728161
Encelia californica,1,0.442,248.6728161
Encelia californica,1,0.488,148.6728161
Encelia californica,1,0.608,234.6728161
Encelia californica,1,0.651,42.17281611
Encelia californica,1,0.806,156.6728161
Encelia californica,1,0.894,153.6728161
Encelia californica,1,1.02,96.67281611
Encelia californica,1,1.061,10.47281611
Encelia californica,1,1.106,93.67281611
Encelia californica,1,1.11,116.6728161
Encelia californica,1,1.154,45.67281611
Encelia californica,1,1.154,40.17281611
Encelia californica,1,1.188,80.67281611
Encelia californica,1,1.245,56.67281611
Encelia californica,1,1.248,53.67281611
Encelia californica,1,1.27,41.67281611
Encelia californica,1,1.28,50.67281611
Encelia californica,1,1.282,10.77281611
Encelia californica,1,1.352,47.67281611
Encelia californica,1,1.494,63.67281611
Encelia californica,1,1.525,37.67281611
Encelia californica,1,1.553,62.67281611
Encelia californica,1,1.56,39.17281611
Encelia californica,1,1.563,35.17281611
Encelia californica,1,1.573,45.67281611
Encelia californica,1,1.575,92.67281611
Encelia californica,1,1.605,3.672816106
Encelia californica,1,1.638,5.472816106
Encelia californica,1,1.64,83.67281611
Encelia californica,1,1.658,13.27281611
Encelia californica,1,1.75,68.67281611
Encelia californica,1,1.78,72.67281611
Encelia californica,1,1.823,27.67281611
Encelia californica,1,1.874,-0.327183894
Encelia farinosa,1,0.07,286.7682745
Encelia farinosa,1,0.124,282.7682745
Encelia farinosa,1,0.146,272.7682745
Encelia farinosa,1,0.266,232.7682745
Encelia farinosa,1,0.36,321.7682745
Encelia farinosa,1,0.506,206.7682745
Encelia farinosa,1,0.58,198.7682745
Encelia farinosa,1,0.595,46.7682745
Encelia farinosa,1,0.604,346.7682745
Encelia farinosa,1,0.684,294.7682745
Encelia farinosa,1,0.905,276.7682745
Encelia farinosa,1,0.919,234.7682745
Encelia farinosa,1,0.92,326.7682745
Encelia farinosa,1,0.93,311.7682745
Encelia farinosa,1,0.975,386.7682745
Encelia farinosa,1,1.114,248.7682745
Encelia farinosa,1,1.247,38.7682745
Encelia farinosa,1,1.299,132.7682745
Encelia farinosa,1,1.345,284.7682745
Encelia farinosa,1,1.36,284.7682745
Encelia farinosa,1,1.409,294.7682745
Encelia farinosa,1,1.556,42.7682745
Encelia farinosa,1,1.565,96.7682745
Encelia farinosa,1,1.578,134.7682745
Encelia farinosa,1,1.614,64.7682745
Encelia farinosa,1,1.668,120.7682745
Encelia farinosa,1,1.686,182.7682745
Encelia farinosa,1,1.708,93.7682745
Encelia farinosa,1,1.786,110.7682745
Encelia farinosa,1,1.84,78.7682745
Encelia farinosa,1,1.922,26.3682745
Encelia farinosa,1,1.923,46.7682745
Encelia farinosa,1,2.054,18.5682745
Encelia farinosa,1,2.065,1.718274498
Encelia farinosa,1,2.08,5.368274498
Encelia farinosa,1,2.102,0.968274498
Encelia farinosa,1,2.116,124.7682745
Encelia farinosa,1,2.118,11.9682745
Encelia farinosa,1,2.121,7.368274498
Encelia farinosa,1,2.128,1.568274498
