species,s,f,g
Arctostaphylos_glauca,629.1275,19.56586525,2.281845608
Arctostaphylos_uva-ursi,1620,32.886,1.389812156
Ardisia_crenata,574.329,1.767532116,0.385283003
Ardisia_japonica,250.88,4.2423808,1.204447661
Ardisia_lindleyana,729.9125,9.56725165,1.507012733
Ardisia_luquillensis,312.5,7.1875,1.828370272
Ardisia_quinquegona,262.205,2.67711305,0.74345987
Ardisia_revoluta,148.4497041,3.581153196,1.321735444
Ardisia_sieboldii,324.135,10.0805985,1.930265097
Areca_triandra,613.625,4.750040441,0.854657889
Arenaria_grandiflora,704,3.2384,0.408478376
Arenaria_serpyllifolia,383.92205,6.399980574,1.468819509
Argyranthemum_frutescens,1798,6.1132,0.730769123
Argyroxiphium_grayanum,1264.64,13.5695872,1.203316527
Artemisia_absinthium,573.182082,6.910856363,1.29806628
Artemisia_armeniaca,298.90125,8.243696475,2.144220442
Artemisia_chamaemelifolia,550.588928,7.038178267,1.348831906
Artemisia_duthreuil-de-rhinsi,450,7.38,1.564448998
Artemisia_fragrans,363.15125,5.15093733,1.215496741
Artemisia_gmelinii,473.3125,5.1066796,1.066079779
Artemisia_herba-alba,322.58,8.580628,2.148382767
Artemisia_keiskeana,378.125,3.468540625,0.802121937
Artemisia_lavandulaefolia  ,499.28,11.0191096,2.217612814
Artemisia_ludoviciana,190.71045,6.693936795,2.179744881
Artemisia_mongolica,311.9125,7.3382008,1.850787682
Artemisia_rubripes,496.125,13.45491,2.716417663
Artemisia_scoparia,354.04605,4.647031429,1.110598385
Artemisia_splendens,649.4408,7.02240337,1.239159732
Artemisia_stolonifera,468.027025,5.040183185,1.047664306
Artemisia_wellbyi,477.405,5.919822,1.218362354
Artocarpus_altilis,264.5,6.348,1.755235461
Artocarpus_integer,220.5,15.1704,4.594138034
Artocarpus_lacucha,220.5,13.0536,3.953095517
Artocarpus_styracifolius,237.62,4.4221082,1.290028109
Aruncus_dioicus,119.6872333,2.552895167,1.086558533
Asarum_caudatum,1182.9248,7.80730368,1.020783893
Asarum_europaeum,1309.333333,8.627466667,0.590540265
Asarum_forbesii,903.125,6.4844375,0.970308154
Ascarina,846.88,9.993184,0.256242125
Ascarina_lanceolata,1959.4,8.218589269,0.513768275
Ascarina_lucida,1231.433333,5.97779428,0.261123859
Ascarina_maheshwarii,1109.6,16.97688,0.506886595
Ascarina_marquesensis,1428.45,17.284245,0.400031821
Ascarina_philippinensis,2541.695,17.353885,0.423613959
Ascarina_polystachya,1096.99,9.684997,0.327188457
Ascarina_rubricaulis,1467.61,14.387855,0.567893786
Ascarina_solmsiana,1029.14,11.972324,0.42376964
Asclepias_incarnata,468,8.9388,1.373576028
Asclepias_subulata,127.6802,1.043147234,0.415140533
Asimina_triloba,392,2.561328,0.524498798
Asparagus_filicinus,554.445,4.86248265,0.928624492
Asparagus_officinalis,280.276488,2.385713466,0.640820288
