species,s,alpha,g
Cynodon_dactylon,63.28125,4492.527406,2.217275466
Dactylis_glomerata,130.78755,81928.2489,0.773607107
Digitaria_sanguinalis,196.02,8221.488418,2.112098827
Echinochloa_colona,162,7402.29652,2.136665633
Echinochloa_crus-galli,137.5977525,7596.412018,2.052697709
Eleusine_coracana,155.76125,12967.59833,1.20762553
Elymus_nutans,109.52,14596.36235,0.9036562
Elymus_smithii,298.90125,89710.09965,0.243907709
Elymus_tsukushiensis,353.78,40798.48337,0.580390793
Eragrostis_ferruginea,113.25125,11568.99174,1.156758952
Eremochloa_ciliaris,214.245,9896.978458,1.838227427
Festuca_rupicola,163.62405,30776.97001,0.524979716
Helictotrichon_pubescens,337.8700125,22048.51906,1.042649595
Hordeum_brevisubulatum,282.98205,15130.08823,1.385919125
Hordeum_bulbosum,234.4695125,11542.70632,1.651009733
Hordeum_distichon,231.125,11533.58088,1.640929755
Hordeum_vulgare,578.1733333,21881.91315,1.196063904
Ichnanthus_pallens,231.125,6911.732143,2.702707832
Imperata_cylindrica,78.75125,3411.650146,3.228501233
Indocalamus_longiauritus,57.245,3076.568851,3.065795528
Isachne_angustifolia,66.125,4281.701087,2.374970836
Koeleria_macrantha,132.845,3867.155,3.658981533
Leptochloa_chinensis,61.605,3178.8357,3.075753345
Leymus_chinensis,157.015625,6867.208253,2.222992905
Leymus_secalinus,204.078125,9546.690608,2.054978309
Lophatherum_gracile,312.5,7726.085209,2.79249879
Miscanthus_floridulus,77.50125,2907.573377,3.744956375
Miscanthus_sinensis,130.41125,3291.902234,4.237262239
Oplismenus_undulatifolius,238.71125,10210.60954,1.877569335
Oryza_australiensis,151.1746333,4823.293566,3.188352404
Oryza_barthii,116.58645,2421.484616,5.402165231
Oryza_brachyantha,46.75445,3312.331879,2.584865281
Oryza_eichingeri,49.30245,2665.875394,3.283851971
Oryza_glaberrima,84.11045,2476.0534,4.548883554
Oryza_latifolia,77.20145,4921.973841,2.127801021
Oryza_longistaminata,128,3963.653028,3.511185616
Oryza_minuta,79.00245,3537.634078,3.120779021
Oryza_officinalis,76.01445,2338.861184,4.584594316
Oryza_punctata,60.17045,2546.711719,3.778486115
Oryza_rufipogon,89.034725,3362.59253,3.489455531
Oryza_sativa,62.82360806,1945.719171,5.130986357
Panicum_antidotale,104.40125,7825.812866,1.636121449
Panicum_bisulcatum,172.05125,4896.37247,3.286272736
Panicum_coloratum,184.32,8634.022152,1.955000567
Panicum_dichotomiflorum,166.53125,10981.74077,1.469900428
Panicum_incomtum,85.15125,4929.893885,2.336513368
Panicum_palmatifolium,150,4334.304933,2.222216246
Panicum_virgatum,117.045,47638.44688,0.287674067
Pariana_ulei,50,5297.593583,1.679090912
Paspalum_dilatatum,150.51125,11356.96861,1.35379174
Paspalum_distichum,141.96125,8361.440111,1.779261705
Pennisetum_alopecuroides,146.205,10238.01099,1.47861464
Phalaris_arundinacea,96.605,5831.077276,2.105535108
Phragmites_australis,42.16023333,10414.89675,4.77459333
Phyllostachys_bambusoides,134.48,8332.920508,1.739107188
Phyllostachys_edulis,28.88,2037.662674,3.302188183
Poa_aitchisonii,282.03125,11345.87573,1.833980314
Poa_alpina,177.1903125,6308.735229,2.606127331
Porteresia_coarctata,135.63045,6241.92057,2.318847895
Psammochloa_villosa,43.71125,3192.534705,2.594195459
Pseudechinolaena_polystachya,50,12608.22785,0.709348567
Saccharum,269.12,5390.189564,3.680926443
Saccharum_officinarum,174.845,3247.468484,4.906303645
Saccharum_sinense,227.91125,5266.594245,3.48900725
Saccharum_spontaneum,171.125,5742.535556,2.80897543
Sacciolepis_indica,451.50125,10746.70704,2.409508927
Schizachyrium_scoparium,58.86125,21047.09063,0.461591071
Secale_cereale,803.3504031,30498.57224,0.58499089
Setaria_macrostachya,128,8136.46281,1.738352944
Setaria_viridis,141.96125,6288.906917,2.35268023
Sorghum_נdrummondii,164.50685,9486.163178,1.679702927
Sorghum_bicolor,195.15625,9039.037097,1.972088909
Spodiopogon_sibiricus,93.16125,4881.963128,2.463549615
Sporobolus_cryptandrus,63.845,28771.21844,0.351876397
Sporobolus_elongatus,147.06125,9431.482811,1.607671184
Sporobolus_indicus,40.5,4464.004505,1.794023338
Stenotaphrum_secundatum,166.53125,21292.69622,0.763627201
Stipa_inebrians,144.5,14141.21429,1.068512399
Stipa_sibirica,28.88,5959.143952,1.139626837
Stipa_splendens,89.055625,14823.22508,0.779116141
Thysanolaena_latifolia,75.1325,2328.87349,4.608812733
Triticum,351.125,18167.39352,1.284908607
Triticum_aestivum,1444.725,47155.83224,0.606517533
Triticum_vulgare,1484,23516,0.712269463
Vetiveria,149.645,7181.733299,2.118815191
Zea_mays,721.6897828,8637.58607,1.741549714
Zizania_latifolia,33.62,1616.545017,4.461892278
Zoysia_japonica,93.16125,12042.76108,1.009932778
Zoysia_tenuifolia,55.125,3911.554889,2.37681155
