species,s,i,e,g
Ficus_heterophylla,144.5,0.28,658.6748366,2.940655353
Ficus_hispida,144.5,0.21,465.9961689,2.848759873
Ficus_ingens,219.8697,0.2114,1217.583328,1.282298756
Ficus_laurifolia,456.1362,0.3506,2453.154679,1.358284275
Ficus_lutea,514.6281,0.2745,1650.942766,1.420347652
Ficus_mucuso,311.7015,0.2639,2900.949644,0.68386297
Ficus_natalensis,502.3872,0.2812,3063.525393,0.890377728
Ficus_natalensis_subsp._leprieurii,478.464,0.1937,3046.019762,0.52473302
Ficus_ottoniifolia,513.8432,0.2879,3189.709695,0.761923515
Ficus_polita,420.308,0.2055,2702.734246,0.585924588
Ficus_populifolia,322.9368,0.255,2605.987436,0.815497774
Ficus_pumila,246.092125,0.12581418,1513.571032,0.894473924
Ficus_racemosa,180.5,0.21,440.6638124,3.286614806
Ficus_religiosa,242,0.12,499.6704545,1.790848934
Ficus_repens,250.75,0.19,603.5177134,1.226510134
Ficus_retusa,384.1992,0.016430564,108,1.286892852
Ficus_sagittifolia,295.8428,0.4347,3101.389203,1.110634065
Ficus_sur,179.3239,0.3465,1905.755835,1.519943505
Ficus_thonningii,384.0553,0.2267,3073.923572,0.612044511
Ficus_umbellata,603.2937,0.2327,3302.914375,0.742684347
Ficus_vallis-choudae,211.8006,0.1993,2487.150755,0.442801601
Fleurya_interrupta,162,0.23,1648.77686,1.007352526
Flueggea_virosa,180.5,0.26,851.5585586,2.319963392
Frangula_alnus,348.0454419,0.162951896,758.4722222,2.228156481
Fraxinus_excelsior,381.3754703,0.135377599,1001.616477,1.719214875
Gentiana_straminea,438.08,0.277,2085.841777,1.600062471
Glandularia_canadensis,202.8705,0.2041,730.7576379,1.63175766
Glandularia_tweedieana,402.5023,0.155,787.5937486,2.223291508
Glochidion_hohenackeri,420.5,0.09,576.543956,1.475415315
Glycyrrhiza_glabra,275.9016,0.143,132.3666177,4.74594166
Glycyrrhiza_uralensis,74.42,0.342,595.1694996,3.181046296
Gmelina_arborea,85.0124,0.219,720.4674003,1.332118401
Gmelina_asiatica,115.926,0.1081,448.411116,1.486401098
Gmelina_philippensis,150.7038,0.2087,807.7023129,2.437974901
Gomphrena_arborescens,541.5,0.1371,1682,1.182367308
Gomphrena_globosa,490,0.187,2416,1.082961201
Gomphrena_pohlii,522,0.1335,2718,1.118186742
Gomphrena_virgata,841,0.1153,3037,0.549894284
Gossypium_arboreum,419.05125,0.20692735,960,2.246129031
Grewia_coriacea,288,0.304,4377.110084,0.332048717
Grewia_oligoneura,210,0.414,5084.857793,0.48156063
Hebe_xfranciscana,410.7971294,0.231063348,670.5965909,3.613343226
Hedera_helix,592.8034926,0.137173168,649.6052847,1.772033635
Hedyosmum_mexicanum,1484.28,0.129,1472.469731,0.986675168
Hedyosmum_orientale,1609.605,0.143,2345.281125,0.73024016
Hedysarum_fruticosum,257.645,0.219,726.6419577,2.533548838
Helianthemum_nummularium,469.5533604,0.171894558,844.3999037,2.143993647
Helleborus_multifidus,1152,0.281988034,3184,1.648395042
Hevea_brasiliensis,333.8,0.20895,637.3948561,2.823772547
Holmskioldia_sanguinea,154.568,0.1655,453.6493711,5.054253757
Holoptelea_integrifolia,162,0.12,451.3939394,1.648395042
Homonoia_riparia,200,0.2,629.3478261,2.340313948
Hosta_longissima,604.47645,0.174973039,1654,1.315672989
Hosta_rectifolia,895.06805,0.159599376,2543,0.94175378
Hosta_ventricosa,1076.304025,0.166884203,2756,1.077926028
Hura_crepitans,532.68,0.1984,899.4298337,1.823573789
Hypericum_aegypticum,400,0.101780186,385.5234813,1.204161235
Hypericum_androsaemum,336,0.217349857,1124.7162,1.264773556
Hypericum_hircinum,336,0.056281675,262.6071227,1.170470265
Hypericum_perfoliatum,138,0.172738694,730.4859529,2.470880156
Hypericum_perforatum,280.474225,0.261695906,896.5227723,2.223785636
Hypericum_pubescens,105,0.423814329,1674.08056,2.056589976
Hypericum_tetrapterum,45,0.400525855,1431.922515,1.253657497
Hypericum_triquetrifolium,253,0.234853642,812.0240214,2.566557549
Hyphaene_dichotoma,738.125,0.07025,594.6525207,1.470982336
Ilex_aquifolium,657.5556292,0.088214662,346.7798001,2.178222905
Ilex_mitis,143.5416667,0.118539017,1042.5,1.389773392
Indigofera_tinctoria,304.3005,0.187,1928.376387,0.599499307
Iris_sibirica,206.4512,0.278375914,2637,0.917504821
Jatropha_curcas,545.05,0.11965,758.8278879,1.452626332
Jatropha_gossypiifolia,320.3333333,0.17025,583.5081838,6.393748673
Jatropha_multifida,264.5,0.09,337.4476406,1.989266856
Jatropha_panduraefolia,374.84,0.2387,978.471237,2.197356309
Jatropha_podagrica,220.5,0.13,496.9286297,1.883062392
Juglans_regia,603.6485469,0.066809094,312.5353423,2.297401678
Kiggelaria_africana,98,0.039247359,211,0.845819987
Kobresia_capillifolia,648,0.136,597.5884774,2.575617253
Kobresia_hohxilensis,776.18,0.129,698.8105497,2.280152617
Kobresia_humilis,450,0.166,506.362096,3.186133935
Kobresia_kansuensis,673.445,0.12,729.6342798,1.937182152
Kobresia_macrantha,729.62,0.107,750.4842198,1.736983556
Kobresia_parva,567.845,0.136,547.8939438,2.646812402
Kobresia_pusilla,438.08,0.134,469.4862099,2.710694069
Kobresia_robusta,658.845,0.121,775.0694474,1.835270383
Kobresia_tibetica,581.405,0.163,444.7786088,3.7842177
Laburnum_anagyroides,398.5242381,0.086100626,725.8554596,0.988840964
Lagenaria_siceraria,242,0.21,776.8822304,2.210579154
Lathyrus_odoratus,520.6932,0.408,985.1165535,3.852912404
Lawsonia_inermis,460.2578,0.146988099,1381,1.138397388
Lepidium_lasiocarpum,438.08,0.135,566.0574425,2.315384517
Lespedeza_davurica,83.205,0.355,899.8881562,2.387311014
Leucaena_leucocephala,296.5544,0.137,99.13254428,3.791888004
Ligularia_sagitta,198.005,0.175,1441.364059,0.904868397
Ligularia_virgaurea,521.645,0.317,4399.177943,1.027067127
Ligusticum_acuminatum,651.9769,0.1779,955.1503649,1.73097596
Ligusticum_ajanense,822.547,0.2048,1371.102648,1.324355698
Ligusticum_angelicifolium,716.7735,0.24523,1233.963747,2.176815277
Ligusticum_brachylobum,363.2382,0.3683,1368.676451,2.658616751
Ligusticum_daucoides,1017.3432,0.2273,1746.37697,1.724212771
Ligusticum_franchetii,1748.194,0.2138,4784.574715,0.825077484
Ligusticum_involucratum,661.7415,0.1819,1583.172502,1.212485248
Ligusticum_jeholense,794.2102,0.1973,1127.384208,1.646995613
Ligusticum_multivittatum,792.8774,0.1964,1029.444825,1.910809021
Ligusticum_reptans,407.435,0.23,890.5022917,2.018257996
Ligusticum_scapiforme,415.9584,0.172,1113.647883,1.024556398
Ligusticum_sikiangense,772.9512,0.194,895.7290069,2.049959064
Ligusticum_sinense,649.6,0.1725,990.7827036,1.408391404
Ligusticum_tenuissimum,587.5224,0.1509,711.5538045,1.564708087
Ligustrum_vulgare,536.6805597,0.148660431,657.2673742,2.083054641
Liquidambar_styraciflua,316.9733333,0.114,420.6752842,2.125585927
Liriodendron_tulipifera,552.3392014,0.085368738,475,2.35768495
Lobelia_alsinoides,488.8213,0.1818,1021.804831,0.995095337
Lobelia_nicotianifolia,510.0744,0.1512,745.6832261,0.813115414
Lonchocarpus_emarginatus,118.8882,0.076244523,323,1.215996602
Lonicera_japonica,452.66,0.119,487.1988702,1.947882093
Lonicera_periclymenum,621.0880615,0.209389381,1338.020833,2.037894652
Luffa_acutangula,288,0.28,1062.890903,2.526012773
Luffa_cylindrica,312.5,0.21,821.0895118,2.337134174
Lumnitzera_racemosa,455.4,0.092,1213,0.690833106
Macaranga_peltata,144.5,0.15,342.1470588,2.594695899
Macaranga_umbrosa,256.05845,0.050420168,493.735766,0.753115509
Magnolia_kobus,213.629225,0.195332973,614,1.664362663
Mallotus_philippensis,84.5,0.17,1027.689083,0.810206514
Mallotus_polycarpus,312.5,0.25,1284.722222,1.907864632
Malus_sylvestris,438.0892615,0.138480661,882.408065,1.621054065
Manihot_esculenta,324.385,0.1845,566.2627969,2.14107414
Maranta_cristata,407.2658,0.045002931,1028,0.408378424
Maytenus_oleoides,157.9,0.112300696,498.2,1.367048604
