species,s,alpha,g
Antidesma_ghaesembilla,312.5,3593.75,2.035055607
Antidesma_maclurei,184.51205,3634.030794,1.599653807
Antidesma_venosum,81.6144,5942.481986,0.778923335
Antonia_ovata,113.25125,3358.970972,1.37824141
Apeiba,162,1724.792453,3.033504765
Apeiba_petoumo,228.98,1286.171515,4.491113344
Apodytes_dimidiata,450,4626.142132,1.879246662
Aporosa_falcifera,780.52005,11755.52107,1.002173532
Aporosa_octandra,347.651225,2560.755149,2.866827383
Aporosa_sarawakensis,153.8258,2832.14016,1.867845899
Aporosa_yunnanensis,282.531,2869.671359,2.176413511
Aquilegia_oxysepala,432.3232833,5427.961739,1.968239687
Arabidopsis_thaliana,197.828512,5392.64897,1.138764031
Arabis_hirsuta,272.2222222,5508.124599,1.283568927
Arabis_sagittata,156.5211245,3380.797588,1.590463082
Arachis_hypogaea,516.812025,3101.3335,3.677906264
Arachis_monticola,505.93805,7530.709061,1.258592319
Aralia_elata,327.68,8139.720508,0.961360269
Aralia_integrifolia,1054,3554.294931,1.776843226
Aralia_quinquessia,1280,6471.937984,1.330286956
Arbutus_canariensis,601.35,3903.154505,1.694918073
Arbutus_menziesii,272.2734,2943.160684,1.831613749
Arbutus_unedo,617.5065015,3394.876623,2.72139616
Archidendron_clypearia,142.4672,3300.22912,1.559085863
Archidendron_lucidum,138.631525,2917.235086,1.76571312
Archidendron_turgidum,182.405,2451.253151,2.306058239
Arctium_lappa,824.18,12230.65029,0.988897115
Arctostaphylos_glandulosa,856.9418,2902.456696,2.082211591
Arctostaphylos_glauca,629.1275,2586.306584,2.281845608
Arctostaphylos_uva-ursi,1620,3306.108374,1.389812156
Ardisia_crenata,574.329,57100.09185,0.385283003
Ardisia_japonica,250.88,5662.780556,1.204447661
Ardisia_lindleyana,729.9125,7702.4767,1.507012733
Ardisia_luquillensis,312.5,4035.326087,1.828370272
Ardisia_quinquegona,262.205,9532.114295,0.74345987
Ardisia_revoluta,148.4497041,3996.854783,1.321735444
Ardisia_sieboldii,324.135,2891.299084,1.930265097
Areca_triandra,613.625,13001.09361,0.854657889
Arenaria_grandiflora,704,21035.13043,0.408478376
Arenaria_serpyllifolia,383.92205,5614.87819,1.468819509
Argyranthemum_frutescens,1798,27613.76471,0.730769123
Argyroxiphium_grayanum,1264.64,8055.024492,1.203316527
Artemisia_absinthium,573.182082,7720.75505,1.29806628
Artemisia_armeniaca,298.90125,3326.914559,2.144220442
Artemisia_chamaemelifolia,550.588928,7272.300847,1.348831906
Artemisia_duthreuil-de-rhinsi,450,5647.560976,1.564448998
Artemisia_fragrans,363.15125,6687.046156,1.215496741
Artemisia_gmelinii,473.3125,8669.843195,1.066079779
Artemisia_herba-alba,322.58,3436.818496,2.148382767
Artemisia_keiskeana,378.125,10523.43392,0.802121937
Artemisia_lavandulaefolia  ,499.28,4031.757608,2.217612814
Artemisia_ludoviciana,190.71045,2658.292399,2.179744881
Artemisia_mongolica,311.9125,4166.993075,1.850787682
Artemisia_rubripes,496.125,3191.190634,2.716417663
Artemisia_scoparia,354.04605,7264.711331,1.110598385
Artemisia_splendens,649.4408,8598.686454,1.239159732
Artemisia_stolonifera,468.027025,8817.886325,1.047664306
Artemisia_wellbyi,477.405,7587.111129,1.218362354
Artocarpus_altilis,264.5,3902.166667,1.755235461
Artocarpus_integer,220.5,1232.988372,4.594138034
Artocarpus_lacucha,220.5,1468.689189,3.953095517
Artocarpus_styracifolius,237.62,5135.835132,1.290028109
Aruncus_dioicus,119.6872333,4407.762303,1.086558533
Asarum_caudatum,1182.9248,13968.59035,1.020783893
Asarum_europaeum,1309.333333,14637.71097,0.590540265
Asarum_forbesii,903.125,13024.4516,0.970308154
Ascarina,846.88,7627.696271,0.256242125
Ascarina_lanceolata,1959.4,21881.67462,0.513768275
Ascarina_lucida,1231.433333,21488.93881,0.261123859
Ascarina_maheshwarii,1109.6,5426.347712,0.506886595
Ascarina_marquesensis,1428.45,6836.01281,0.400031821
Ascarina_philippinensis,2541.695,14577.87022,0.423613959
Ascarina_polystachya,1096.99,13387.46172,0.327188457
Ascarina_rubricaulis,1467.61,8746.042944,0.567893786
Ascarina_solmsiana,1029.14,8461.369491,0.42376964
Asclepias_incarnata,468,4767.602094,1.373576028
Asclepias_subulata,127.6802,12112.22188,0.415140533
Asimina_triloba,392,14912.56076,0.524498798
Asparagus_filicinus,554.445,10848.06355,0.928624492
Asparagus_officinalis,280.276488,11467.84381,0.640820288
Asperugo_procumbens,259.92,4320.932038,1.582650027
Asperula_glomerata,779.3352,11709.73686,1.005178705
Asperula_molluginoides,598.58,13557.70539,0.777182649
Asperula_odorata,578,13120.63014,0.789220003
Asphodeline_lutea,884,3007.050584,2.304014311
Asphodeline_prolifera,486.72,6828.568954,1.356186495
Aspidosperma_album,321.75,4839.540323,1.535474977
Aspidosperma_excelsum,242.18,3030.177724,2.778009893
Aspidosperma_megalocarpon,656.32625,4373.97678,2.432805636
Asplundia,128,8419.008547,0.595253765
Aster_pyrenaeus,1160,10203.63636,0.95254433
Aster_tataricus,623.045,11908.28332,0.895723366
Aster_trinervius,651.605,9142.714295,1.172004423
Astilbe_rubra,1145.5925,10490.30014,1.436898708
Astracantha_aurea,164.5298,4333.895751,1.282251017
Astracantha_microcephala,211.3568,4755.859572,1.316152881
Astragalus_alopecurus,720,4110.917874,1.600984883
Astragalus_alyssoides,287.76005,7230.471662,1.014637357
Astragalus_bicolor,256.05845,6046.330155,1.141762257
Astragalus_glycyphyllos,492.66605,8601.550029,1.097545045
Astragalus_hamosus,286.0832,4741.568886,1.512837444
Astragalus_hirticalyx,189.15125,2414.540785,2.37534282
Astragalus_macrourus,202.60845,5367.801532,1.149087026
Astragalus_onobrychioides,282.50645,8036.961104,0.908510511
Astragalus_pinetorum,274.95125,5458.664942,1.300500537
Astragalus_schistosus,369.92,5888.293906,1.382021526
Astragalus_spinosus,158.42,3438.702302,1.573479557
Astragalus_tanguticus,233.28,4717.21505,1.38739916
Astragalus_tribuloides,213.4178,2325.29761,2.587692128
Astrocaryum_mexicanum,338,9185.809524,0.868078408
Astronium_lecointei,78.125,1455.617331,2.591516125
Asyneuma_japonicum,538.3120833,6807.491885,1.505482096
Athertonia_diversifolia,216.32,3528.998352,1.765919503
Athyrium_niponicum,1220.18,15502.22803,0.939343511
Atractylodes_lancea,638.865,9449.42913,1.180748803
Atraphaxis_spinosa,650.005225,5848.160768,1.503929248
Atriplex_canescens,43.4312,7013.73182,0.419934996
Atriplex_hymenelytra,56.8178,5050.434498,0.663691413
Atriplex_lentiformis,107.31125,14885.1925,0.310713244
Atriplex_rhagodioides,107.31125,8718.814081,0.527793262
Atriplex_semibaccata,80.01125,12691.38083,0.314955063
Aucuba_albopunctifolia,780.125,4622.360143,2.324876144
Aucuba_japonica,528.5964506,5606.820216,1.613109305
Austrobaileya_scandens,1958.995,12263.76141,0.426572572
Austromuellera_trinervia,364.5,1554.885797,4.47298863
Avena_sterilis,160.4736125,4840.526588,3.216566578
Avicennia_marina,73.8,6099.039506,1.176350206
Avicennia_officinalis,459.3116,2084.311537,6.329873942
Baccharis_salicina,760.5,4826.092179,2.620210934
Baccharis_sarothroides,354.8448,15029.77058,0.550609733
Baccharis_sordescens,307.0242,5942.9758,1.260716949
Bactris_mexicana,648,11547.12195,0.938669399
